model,batch_size,status,peak_allocated_gb,peak_reserved_gb,elapsed_s,error
MLP,16,ok,0.2391343116760254,0.248046875,0.14127683639526367,
MLP,32,ok,0.2398538589477539,0.25,0.003276824951171875,
MLP,64,ok,0.24129295349121094,0.25390625,0.003129243850708008,
MLP,128,ok,0.24476242065429688,0.255859375,0.0034661293029785156,
MLP,256,ok,0.24992752075195312,0.275390625,0.003544330596923828,
BiLSTM,16,ok,4.0055036544799805,5.03125,0.5601649284362793,
BiLSTM,32,ok,7.8556318283081055,9.796875,0.5847892761230469,
BiLSTM,64,ok,15.551007270812988,19.328125,0.698096513748169,
BiLSTM,128,over_budget,30.947137355804443,38.3828125,6.000626087188721,
BiLSTM,256,over_budget,61.735249042510986,76.490234375,68.99366521835327,
ResCNN1D,16,ok,0.9329490661621094,1.12109375,0.27100443840026855,
ResCNN1D,32,ok,1.775461196899414,2.083984375,0.060662269592285156,
ResCNN1D,64,ok,3.4392457008361816,4.029296875,0.21281814575195312,
ResCNN1D,128,ok,6.754430770874023,7.890625,0.07721924781799316,
ResCNN1D,256,ok,13.34626579284668,15.576171875,0.09250998497009277,
UNet1D,16,ok,0.816157341003418,1.01171875,0.09145236015319824,
UNet1D,32,ok,1.539754867553711,1.873046875,0.0642244815826416,
UNet1D,64,ok,2.9748482704162598,3.599609375,0.07455897331237793,
UNet1D,128,ok,5.8002705574035645,6.40625,0.11712288856506348,
UNet1D,256,ok,11.492866516113281,12.599609375,0.10171270370483398,
Transformer,16,ok,0.6805477142333984,0.8828125,0.08107638359069824,
Transformer,32,ok,1.297255516052246,1.4921875,0.056415557861328125,
Transformer,64,ok,2.4530344009399414,2.689453125,0.0643620491027832,
Transformer,128,ok,4.820744514465332,5.07421875,0.07218194007873535,
Transformer,256,ok,9.491848945617676,9.62109375,0.09280109405517578,
