model,axis,percent,run_id,train_gms_used,use_scales_count,train_samples,val_samples,test_samples,best_epoch,train_time_s,peak_gpu_gb,params_m,mse,rmse,mae,r2,pfa_mse_g2,pfa_r2,latency_ms_per_sample
FNO-Large,AC,80,E-AC80,3000,46,110400,27600,27018,31,9359.638027906418,3.2508673667907715,8.505793,0.04672362221602458,0.21615647622966233,0.10638619021539653,0.9399385245074416,0.0011704545041692517,0.9559058625893581,0.15289150178432465
Transformer,AC,80,E-AC80,3000,46,110400,27600,27018,44,9424.695181131363,2.4917683601379395,7.957775,0.022280334556994314,0.14926598593448648,0.06801952193365592,0.9713594600655349,0.0005785827234546513,0.9782032483786797,0.20585153251886368
FNO-Large,AC,60,E-AC60,3000,34,81600,20400,27018,28,6848.999486207962,3.2508673667907715,8.505793,0.050216354890829436,0.22409005977693308,0.11167618386184866,0.9354487467890116,0.001273792503517182,0.9520128450250209,0.11027511209249496
Transformer,AC,60,E-AC60,3000,34,81600,20400,27018,42,6916.130043506622,2.4917683601379395,7.957775,0.02443849786313248,0.15632817360646314,0.07348426637558468,0.9685852215460713,0.0006556529768391229,0.9752998067404932,0.1648416742682457
FNO-Large,AC,40,E-AC40,3000,23,55200,13800,27018,41,4630.593957901001,3.2508673667907715,8.505793,0.04818224421897506,0.2195045425930294,0.10856205218294863,0.9380635202691556,0.0011307239419821279,0.9574026186462922,0.15268567949533463
Transformer,AC,40,E-AC40,3000,23,55200,13800,27018,48,4686.123442649841,2.4917683601379395,7.957775,0.026623094010941973,0.16316584817584215,0.07711705484827244,0.9657770045934954,0.0007290930096286164,0.9725331251772825,0.10734926909208298
FNO-Large,AC,20,E-AC20,3000,11,26400,6600,27018,31,2225.3303916454315,3.2508673667907715,8.505793,0.056518679113254165,0.23773657504316445,0.11957055491771883,0.9273473438181284,0.0012434782634821327,0.9531548631563053,0.15732590109109879
Transformer,AC,20,E-AC20,3000,11,26400,6600,27018,47,2241.8383378982544,2.4917683601379395,7.957775,0.032887838492931316,0.18135004409409808,0.08904792170164913,0.9577239089787659,0.0009468688007169207,0.964328931316903,0.1300375908613205
FNO-Large,AC,10,E-AC10,3000,6,14400,3600,27018,22,1196.9122276306152,3.2508673667907715,8.505793,0.06884397841609403,0.2623813606491399,0.1356952349812702,0.9115036307902016,0.0014002651213820302,0.9472482847871376,0.15112459659576416
Transformer,AC,10,E-AC10,3000,6,14400,3600,27018,49,1220.1443829536438,2.4917683601379395,7.957775,0.046243003317160664,0.21504186410362208,0.11263553622189759,0.9405563421946472,0.0014420955633754663,0.945672420667143,0.14395322650671005
FNO-Large,AC,5,E-AC05,3000,3,7200,1800,27018,21,602.5232095718384,3.2508673667907715,8.505793,0.10098334434366768,0.317778766351164,0.1710395825767004,0.8701896733645443,0.002364457353345073,0.9109245963267922,0.14917925000190735
Transformer,AC,5,E-AC05,3000,3,7200,1800,27018,50,615.9977893829346,2.4917683601379395,7.957775,0.19931144937663087,0.44644310877941756,0.2529089859268204,0.7437925579319664,0.005422112732164375,0.7957345774513978,0.18681101500988007
FNO-Large,GM,80,E-GM80,2400,57,109440,27360,27018,23,9139.3904235363,3.2508673667907715,8.505793,0.05931320364904059,0.2435430221727582,0.12264638725971845,0.9237550866480085,0.0012747485366291363,0.9519768287123342,0.14737453311681747
Transformer,GM,80,E-GM80,2400,57,109440,27360,27018,49,9241.70127940178,2.4917683601379395,7.957775,0.023777018936250977,0.1541979861614638,0.07034810264836464,0.9694355280606658,0.0006213210402585352,0.9765931821974336,0.1431930810213089
FNO-Large,GM,60,E-GM60,1800,57,82080,20520,27018,14,6929.685834884644,3.2508673667907715,8.505793,0.07695827109033551,0.2774135380444428,0.14270842477386797,0.90107300988628,0.0015816064350165245,0.9404166746962345,0.1580735668540001
Transformer,GM,60,E-GM60,1800,57,82080,20520,27018,48,6974.877934932709,2.4917683601379395,7.957775,0.027255874570912022,0.16509353279553993,0.07611201595011119,0.9649635887602988,0.0007253261527694054,0.9726750327041147,0.14680679887533188
FNO-Large,GM,40,E-GM40,1200,57,54720,13680,27018,11,4570.676247835159,3.2508673667907715,8.505793,0.09284189383365372,0.304699678099032,0.15932387060849287,0.8806552046544831,0.0019372088094356014,0.9270201864898736,0.15587154775857925
Transformer,GM,40,E-GM40,1200,57,54720,13680,27018,50,4609.937346458435,2.4917683601379395,7.957775,0.03212466297379799,0.17923354310451486,0.0830689168014148,0.958704942673607,0.0008243718293112647,0.9689437183678378,0.15262961387634277
FNO-Large,GM,20,E-GM20,600,57,27360,6840,27018,5,2236.7793641090393,3.2508673667907715,8.505793,0.13724153747942633,0.37046124963270627,0.19987139883692506,0.8235811170253285,0.0022162849554960675,0.9165066450505533,0.14685913920402527
Transformer,GM,20,E-GM20,600,57,27360,6840,27018,50,2275.3909463882446,2.4917683601379395,7.957775,0.17107218013632308,0.4136087283125479,0.18799776823408237,0.7800930863790696,0.0029850402025915273,0.8875455881450237,0.14642011374235153
FNO-Large,GM,10,E-GM10,300,57,13680,3420,27018,18,1151.4860649108887,3.2508673667907715,8.505793,0.1730989260017338,0.41605159055306323,0.2270830800902215,0.777487780083205,0.004305959234172855,0.837783051387374,0.1522369682788849
Transformer,GM,10,E-GM10,300,57,13680,3420,27018,1,1169.8561849594116,2.4917683601379395,7.957775,0.5503378839502446,0.7418476150465435,0.4337730063758613,0.2925611551116504,0.02655979860688449,-0.0005783267946568582,0.10690856724977493
