model,run_id,axis_code,axis,percent,mse,r2
FNO-Large,E-AC05,AC,AC scales reduced,5,0.10098334434366768,0.8701896733645443
FNO-Large,E-AC10,AC,AC scales reduced,10,0.06884397841609403,0.9115036307902016
FNO-Large,E-AC20,AC,AC scales reduced,20,0.056518679113254165,0.9273473438181284
FNO-Large,E-AC40,AC,AC scales reduced,40,0.04818224421897506,0.9380635202691556
FNO-Large,E-AC60,AC,AC scales reduced,60,0.050216354890829436,0.9354487467890116
FNO-Large,E-AC80,AC,AC scales reduced,80,0.04672362221602458,0.9399385245074416
Transformer,E-AC05,AC,AC scales reduced,5,0.19931144937663087,0.7437925579319664
Transformer,E-AC10,AC,AC scales reduced,10,0.046243003317160664,0.9405563421946472
Transformer,E-AC20,AC,AC scales reduced,20,0.032887838492931316,0.9577239089787659
Transformer,E-AC40,AC,AC scales reduced,40,0.026623094010941973,0.9657770045934954
Transformer,E-AC60,AC,AC scales reduced,60,0.02443849786313248,0.9685852215460713
Transformer,E-AC80,AC,AC scales reduced,80,0.022280334556994314,0.9713594600655349
FNO-Large,E-GM20,GM,GM count reduced,20,0.13724153747942633,0.8235811170253285
FNO-Large,E-GM40,GM,GM count reduced,40,0.09284189383365372,0.8806552046544831
FNO-Large,E-GM60,GM,GM count reduced,60,0.07695827109033551,0.90107300988628
FNO-Large,E-GM80,GM,GM count reduced,80,0.05931320364904059,0.9237550866480085
Transformer,E-GM20,GM,GM count reduced,20,0.17107218013632308,0.7800930863790696
Transformer,E-GM40,GM,GM count reduced,40,0.03212466297379799,0.958704942673607
Transformer,E-GM60,GM,GM count reduced,60,0.027255874570912022,0.9649635887602988
Transformer,E-GM80,GM,GM count reduced,80,0.023777018936250977,0.9694355280606658
FNO-Large,E-J20,J,Joint reduced,20,0.13915434958327838,0.8211222683349122
FNO-Large,E-J40,J,Joint reduced,40,0.09867071882453075,0.8731624673037409
FNO-Large,E-J60,J,Joint reduced,60,0.07704583092337314,0.9009604549832846
FNO-Large,E-J80,J,Joint reduced,80,0.06028065029461214,0.9225114700310284
Transformer,E-J40,J,Joint reduced,40,0.045498157378949335,0.9415138138961514
Transformer,E-J60,J,Joint reduced,60,0.02939943439023266,0.9622081224790308
Transformer,E-J80,J,Joint reduced,80,0.024298824988678216,0.9687647658221384
