model,filename,event,gm_native_hz,gm_native_len,response_gt_hz,response_gt_len,comparison,r2_time,rmse_time,mae_time,spectral_log_mse,pfa_gt_g,pfa_pred_g,pfa_abs_error_g,latency_ms,gm_dt,gt_dt
BiLSTM,1940-ElCentro-60s-50Hz-ms2.txt,El Centro (1940),50,3000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,0.9508538756926881,0.14865828508349532,0.07610995921829547,0.10094398781035353,0.3781355363027279,0.3784519695239208,0.0003164332211929022,141.94512367248535,0.019999999999999574,0.019999999999999574
Transformer,1940-ElCentro-60s-50Hz-ms2.txt,El Centro (1940),50,3000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,0.9520511661281511,0.14683632477310848,0.0797106858644676,0.21779979721258694,0.3781355363027279,0.3708027918404395,0.007332744462288376,13.343095779418945,0.019999999999999574,0.019999999999999574
FNO-Large,1940-ElCentro-60s-50Hz-ms2.txt,El Centro (1940),50,3000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,0.9361080782783016,0.16949912341735468,0.10685561673404133,0.20118623747078881,0.3781355363027279,0.36914095844575995,0.008994577856967945,75.70624351501465,0.019999999999999574,0.019999999999999574
BiLSTM,1971-Sanfernando-60s-50Hz-ms2.txt,San Fernando (1971),50,3000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,0.9137092944957337,0.15557085134333068,0.051443871416510606,0.09713962839374066,0.4061642772196265,0.4131358454837468,0.00697156826412032,60.32419204711914,0.019999999999999574,0.019999999999999574
Transformer,1971-Sanfernando-60s-50Hz-ms2.txt,San Fernando (1971),50,3000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,0.840116085337331,0.21176228037642425,0.061150037764440765,0.18441858035129394,0.4061642772196265,0.4314035207610367,0.025239243541410217,1.6033649444580078,0.019999999999999574,0.019999999999999574
FNO-Large,1971-Sanfernando-60s-50Hz-ms2.txt,San Fernando (1971),50,3000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,0.7210092194097296,0.2797313520602151,0.09686408302943657,0.2292823457159738,0.4061642772196265,0.406764819838342,0.000600542618715505,3.4427642822265625,0.019999999999999574,0.019999999999999574
BiLSTM,1985-Michoacan-60s-200Hz-ms2.txt,Michoacan (1985),200,12000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,-0.7135000394270155,0.5906924633573566,0.41523071613548224,0.9778501840596997,0.2239999421145938,0.13446061739984758,0.08953932471474621,225.25310516357422,0.004999999999999893,0.019999999999999574
Transformer,1985-Michoacan-60s-200Hz-ms2.txt,Michoacan (1985),200,12000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,0.053769536800866935,0.43895280966523925,0.26953867391230407,3.081452103148504,0.2239999421145938,0.23158692681704335,0.007586984702449562,5.001544952392578,0.004999999999999893,0.019999999999999574
FNO-Large,1985-Michoacan-60s-200Hz-ms2.txt,Michoacan (1985),200,12000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,0.8160166552081858,0.19355688551877806,0.13905792695690875,0.11808781311532958,0.2239999421145938,0.23728197138608412,0.013282029271490331,199.47338104248047,0.004999999999999893,0.019999999999999574
BiLSTM,1991-Kobe-60s-100Hz-ms2.txt,Kobe (1991),100,6000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,-1.2466070428325398,0.7267983352459517,0.29351786589073414,0.8062028702511973,0.33980142571996597,0.37433371995931736,0.03453229423935139,111.19580268859863,0.009999999999999787,0.019999999999999574
Transformer,1991-Kobe-60s-100Hz-ms2.txt,Kobe (1991),100,6000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,0.16754213659317718,0.44241668355723257,0.16534005133358817,1.9494878008433285,0.33980142571996597,0.33282434053255755,0.006977085187408416,1.6224384307861328,0.009999999999999787,0.019999999999999574
FNO-Large,1991-Kobe-60s-100Hz-ms2.txt,Kobe (1991),100,6000,50,3000,native_input_prediction_interpolated_to_available_50hz_response_gt,0.9151430762823495,0.1412518054477751,0.07910614411296434,0.1047232880816237,0.33980142571996597,0.32023549930521955,0.019565926414746415,7.503747940063477,0.009999999999999787,0.019999999999999574
