model,filename,event,gm_native_hz,gm_native_len,available_gt_hz,available_gt_len,comparison,mse_native_axis,rmse_native_axis,mae_native_axis,r2_native_axis,pfa_gt_g_native_axis,pfa_pred_g_native_axis,pfa_abs_error_g_native_axis,latency_ms
BiLSTM,1940-ElCentro-60s-50Hz-ms2.txt,El Centro (1940),50,3000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.022099249781073575,0.14865816419246397,0.0761081111784571,0.9508539468582066,0.3781355363027279,0.3784519695239208,0.0003164332211929022,138.32640647888184
Transformer,1940-ElCentro-60s-50Hz-ms2.txt,El Centro (1940),50,3000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.0215609116751476,0.1468363431686706,0.07971109222937779,0.9520511455606145,0.3781355363027279,0.3708027918404395,0.007332744462288376,13.207197189331055
FNO-Large,1940-ElCentro-60s-50Hz-ms2.txt,El Centro (1940),50,3000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.028730269520214458,0.16950005758174377,0.10686445317509363,0.9361073626206186,0.3781355363027279,0.36914095844575995,0.008994577856967945,76.22766494750977
BiLSTM,1971-Sanfernando-60s-50Hz-ms2.txt,San Fernando (1971),50,3000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.024202274614729343,0.15557080257789166,0.05144279496035123,0.913709194291029,0.4061642772196265,0.4131358454837468,0.00697156826412032,57.179927825927734
Transformer,1971-Sanfernando-60s-50Hz-ms2.txt,San Fernando (1971),50,3000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.044843198708180335,0.21176212765312954,0.06114617985753298,0.8401160300552337,0.4061642772196265,0.43140352076103683,0.025239243541410328,1.5616416931152344
FNO-Large,1971-Sanfernando-60s-50Hz-ms2.txt,San Fernando (1971),50,3000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.07824942290546001,0.2797309830988695,0.09685971214881292,0.7210094564969194,0.4061642772196265,0.40676481983834206,0.0006005426187155605,3.4101009368896484
BiLSTM,1985-Michoacan-60s-200Hz-ms2.txt,Michoacan (1985),200,12000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.3471119885800403,0.5891621072167152,0.4138982030804742,-0.7190140254206911,0.2239999421145938,0.13446061739984758,0.08953932471474621,234.1463565826416
Transformer,1985-Michoacan-60s-200Hz-ms2.txt,Michoacan (1985),200,12000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.18888348640448782,0.434607278361152,0.2669974457669459,0.06458614803849616,0.2239999421145938,0.24764498925476383,0.023645047140170045,4.281520843505859
FNO-Large,1985-Michoacan-60s-200Hz-ms2.txt,Michoacan (1985),200,12000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.037155231436869746,0.19275692318790977,0.1382871281500897,0.8159949351821276,0.2239999421145938,0.23739950372538435,0.013399561610790561,11.069059371948242
BiLSTM,1991-Kobe-60s-100Hz-ms2.txt,Kobe (1991),100,6000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.5272938513707628,0.7261500198793379,0.2937656689729511,-1.2550503031423386,0.33980142571996597,0.3786420724929047,0.03884064677293875,120.58758735656738
Transformer,1991-Kobe-60s-100Hz-ms2.txt,Kobe (1991),100,6000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.1929522320290924,0.4392632832699455,0.16388903812050465,0.1748111831798197,0.33980142571996597,0.33282434053255755,0.006977085187408416,1.4934539794921875
FNO-Large,1991-Kobe-60s-100Hz-ms2.txt,Kobe (1991),100,6000,50,3000,model_native_output_vs_available_50hz_gt_interpolated_to_native_time_axis,0.019653622833152723,0.14019137931111428,0.07853050979869246,0.915948369182513,0.33980142571996597,0.32071933590794677,0.0190820898120192,10.234832763671875
