model,filename,event,r2_time,rmse_time,mae_time,r2_spectral,pfa_gt_g,pfa_pred_g,pfa_abs_error_g,latency_ms
BiLSTM,1940-ElCentro-60s-50Hz-ms2.txt,El Centro (1940),0.9972528500290233,0.03514678991928605,0.02338539516789266,0.9983322248933597,0.3781355363027279,0.3784511918078626,0.0003156555051346821,426.0072708129883
BiLSTM,1971-Sanfernando-60s-50Hz-ms2.txt,San Fernando (1971),0.9914317256746493,0.049022211548071806,0.024610021522161938,0.9943497272564743,0.4061642772196265,0.4131588367147183,0.006994559495091812,426.2716770172119
BiLSTM,1985-Michoacan-60s-200Hz-ms2.txt,Michoacan (1985),0.9531581724067208,0.09766439992453149,0.0662733893201815,0.9818049878506383,0.2239999421145938,0.23655947316798714,0.012559531053393358,411.1940860748291
BiLSTM,1991-Kobe-60s-100Hz-ms2.txt,Kobe (1991),0.9747693937610764,0.0770218966402944,0.03538613863501323,0.989650388491555,0.33980142571996597,0.3164697495440095,0.02333167617595644,405.9150218963623
Transformer,1940-ElCentro-60s-50Hz-ms2.txt,El Centro (1940),0.9943881465095565,0.05023398635050566,0.03578427574821156,0.9966912454377426,0.3781355363027279,0.3713837214323116,0.006751814870416317,12.133121490478516
Transformer,1971-Sanfernando-60s-50Hz-ms2.txt,San Fernando (1971),0.929382416416591,0.14073517088582216,0.0387775520428792,0.9640154201123291,0.4061642772196265,0.43176258254367156,0.025598305324045056,9.911537170410156
Transformer,1985-Michoacan-60s-200Hz-ms2.txt,Michoacan (1985),0.9377286707320603,0.11260649442392713,0.07609834259741789,0.9760393208359672,0.2239999421145938,0.23950643374164046,0.015506491627046676,9.75799560546875
Transformer,1991-Kobe-60s-100Hz-ms2.txt,Kobe (1991),0.9720986627784695,0.0809958700497893,0.04938568470256729,0.9875704694521231,0.33980142571996597,0.3215097627630049,0.018291662956961052,26.963472366333008
FNO-Large,1940-ElCentro-60s-50Hz-ms2.txt,El Centro (1940),0.9799223984955295,0.09501679915689976,0.070087080323526,0.9883594803474504,0.3781355363027279,0.3692290833966083,0.008906452906119577,51.177263259887695
FNO-Large,1971-Sanfernando-60s-50Hz-ms2.txt,San Fernando (1971),0.783802108458761,0.2462475654909522,0.08286706679466276,0.8932295565008375,0.4061642772196265,0.4068801891548553,0.0007159119352287968,42.0684814453125
FNO-Large,1985-Michoacan-60s-200Hz-ms2.txt,Michoacan (1985),0.9171251742732042,0.12990644091213346,0.09356717581253784,0.9652030951644437,0.2239999421145938,0.23646692495705762,0.012466982842463836,30.739545822143555
FNO-Large,1991-Kobe-60s-100Hz-ms2.txt,Kobe (1991),0.9734968060119717,0.07894042742218021,0.05489324708712587,0.9804553764716155,0.33980142571996597,0.32060032104741054,0.019201104672555425,40.91835021972656
