name,filename,group,source,gm_id,scale_id,pga_ms2,rms_acc_ms2,arias_proxy,duration_5_95_s,n_steps,dt,dominant_freq_hz,spectral_centroid_hz,band_0p1_1_hz,band_1_5_hz,band_5_10_hz,band_10_25_hz,sa_t0_ms2,psa_t0p2_ms2,psa_t0p5_ms2,psa_t1p0_ms2,psa_t2p0_ms2,psa_mean_0p1_0p5,psa_mean_0p5_1p5,psa_mean_1p5_4p0,pc1,pc2,train_nn_distance,train_nn_percentile
knet_gm0000_s09,knet_gm0000_s09.txt,train_pool,knet,0.0,9.0,0.99502,0.161211037890534,1.5593399242645583,21.659999999999997,3000,0.019999999999999574,1.3000000000000276,6.787922894916688,0.16527390032595607,0.6654294905604251,0.10764901455531903,0.061610558356022735,0.99502,1.960948321,1.361144738,1.499543429,0.4328435342,2.3235700438888887,1.5574024042380952,0.2957510111862745,0.3677157910064331,0.3742196136096116,2.9802322387695312e-08,0.0
knet_gm0001_s09,knet_gm0001_s09.txt,fixed_test,knet,1.0,9.0,1.0,0.1953356169922598,2.2893601959447554,37.26,3000,0.019999999999999574,2.216666666666714,10.085881244257848,0.03943902156182855,0.31999094333304584,0.29376812646653344,0.34663898127605614,1.0,2.136644868,1.19214945,0.7608643227,0.2577924239,1.9688081522222223,0.7073190458095238,0.238705630694902,-2.2307911750693266,-2.1663760753228196,1.5293628437343891,65.66666666666666
knet_gm0002_s09,knet_gm0002_s09.txt,train_pool,knet,2.0,9.0,1.0,0.13100987356545424,1.029815218298158,13.560000000000002,3000,0.019999999999999574,2.6666666666667234,5.491407289720543,0.043494392800317756,0.766266929152792,0.17337647867326816,0.01685994655820867,1.0,2.490919996,1.277673303,1.004058251,0.2125512563,2.786527976111111,0.7183600020904761,0.12578772578058825,-1.147802000431952,2.2736628481059715,0.0,0.0
knet_gm0003_s09,knet_gm0003_s09.txt,train_pool,knet,3.0,9.0,0.94158,0.09334193114924823,0.5227629666402487,15.020000000000003,3000,0.019999999999999574,5.083333333333441,8.7697274779828,0.09291935983252528,0.24162662726563128,0.5049864912226719,0.16031198235242614,0.94158,3.030353909,0.6957265786,0.52791103,0.4178290832,1.5320899063000002,0.5459509848428572,0.19585308917843136,-4.68719140789863,-2.3090175344258648,0.0,0.0
knet_gm0004_s09,knet_gm0004_s09.txt,fixed_test,knet,4.0,9.0,0.97604,0.18330765862058881,2.016101862537693,28.159999999999997,3000,0.019999999999999574,1.7000000000000361,5.744368506800343,0.0977926356600396,0.7563006091071922,0.11357390594397865,0.03229517182088189,0.97604,1.958782325,2.949243111,1.308630437,0.5098127106,2.4056558354444446,1.5182731053333334,0.3538915040694117,1.1725954215907721,0.8683642791821229,1.3584077260126761,46.96666666666667
knet_gm0005_s09,knet_gm0005_s09.txt,train_pool,knet,5.0,9.0,0.92782,0.17900793493065534,1.9226304460882229,40.18,3000,0.019999999999999574,2.450000000000052,8.369675011811038,0.02886220944799718,0.3323477170665096,0.3658846242250103,0.27289369284638315,0.92782,2.015076943,1.442731984,0.5041170911,0.2154092116,1.9107609979999998,0.7266791859380952,0.22372968545098046,-2.8513034176708483,-2.6205783588764446,8.429369702178807e-08,0.0
knet_gm0006_s09,knet_gm0006_s09.txt,train_pool,knet,6.0,9.0,0.97101,0.16553976054118688,1.6442047392019725,36.120000000000005,3000,0.019999999999999574,5.850000000000124,7.8235537855243855,0.046945533731446484,0.3564349555457929,0.3973696470318288,0.19923505700290883,0.97101,2.14914541,1.184137973,0.6370486139,0.2536138613,1.9996241508888888,0.6121621440761905,0.2770650602235294,-2.716986632082757,-1.8538840243614871,0.0,0.0
knet_gm0007_s09,knet_gm0007_s09.txt,train_pool,knet,7.0,9.0,0.9712,0.20853201269586205,2.609136019139179,33.6,3000,0.019999999999999574,3.7166666666667454,7.4285676397974,0.03812055023593696,0.5129491087668685,0.35480719647526465,0.0940414673632874,0.9712,3.161271309,1.143888738,0.7110620259,0.2683364294,2.503438685555556,0.7851691034571427,0.2601142306529412,-1.3568836156295112,-0.7118550855567195,0.0,0.0
knet_gm0008_s09,knet_gm0008_s09.txt,train_pool,knet,8.0,9.0,0.99103,0.16405402018228438,1.6148232922781298,26.620000000000005,3000,0.019999999999999574,2.416666666666718,5.998947087502436,0.04439151445576483,0.802563900939414,0.11916679617555268,0.033815082224379574,0.99103,2.830295318,2.218298367,1.073801423,0.3442767972,2.610423535555556,1.0218938565428572,0.21292260857803919,-0.051720460505372975,1.7232531768646384,4.2146848510894035e-08,0.0
knet_gm0009_s09,knet_gm0009_s09.txt,train_pool,knet,9.0,9.0,0.98344,0.13296045752615643,1.0607089959338687,32.5,3000,0.019999999999999574,0.9333333333333531,3.2051567098880436,0.1427196633492456,0.8443572781404187,0.01100597553116223,0.0015577159308584932,0.98344,1.639217329,1.335346404,1.047810213,0.245632978,2.187967582777778,1.0533615553952382,0.22767154254725488,0.4297246293700834,1.471094442785517,0.0,0.0
