ExpName,ModelVersion,TrainGMs,Scales,Epochs,BatchSize,MSE,RMSE,MAE,R2,TrainingTime
E-Base,1.0+_E,3000,57,1,2560,0.714086,0.845036,0.494017,0.080307,231.66
E-test-1,1.0+_E,3000,46,1,2560,0.714462,0.845258,0.492887,0.079081,150.77
E-Base,1.0+_E,3000,57,50,2560,0.054141,0.232682,0.118034,0.930201,8679.66
E-test-1,1.0+_E,3000,46,50,2560,0.054490,0.233430,0.118761,0.929753,6754.88
E-test-2,1.0+_E,3000,34,50,2560,0.057237,0.239243,0.123326,0.926272,4791.41
E-test-3,1.0+_E,3000,23,50,2560,0.057296,0.239365,0.124523,0.926211,3283.90
E-test-4,1.0+_E,3000,11,50,2560,0.065330,0.255597,0.138631,0.915843,1628.95
E-test-5,1.0+_E,2400,57,50,2560,0.059633,0.244199,0.127227,0.923161,6986.85
E-test-6,1.0+_E,1800,57,50,2560,0.064978,0.254908,0.131048,0.916299,5066.30
E-test-7,1.0+_E,1200,57,50,2560,0.076497,0.276580,0.147221,0.901368,3360.42
E-test-8,1.0+_E,600,57,50,2560,0.103484,0.321689,0.178798,0.866646,1680.51
E-test-9,1.0+_E,2400,46,50,2560,0.058973,0.242844,0.125832,0.924047,6145.87
E-test-10,1.0+_E,1800,34,50,2560,0.066595,0.258060,0.135838,0.914180,3006.82
E-test-11,1.0+_E,1200,23,50,2560,0.080610,0.283920,0.155507,0.896106,1357.18
E-test-12,1.0+_E,600,11,50,2560,0.151799,0.389614,0.234563,0.804419,344.23
E-test-13,1.0+_E,3000,6,50,2560,0.082831,0.287804,0.161126,0.893295,905.12
E-test-14,1.0+_E,3000,3,50,2560,0.162886,0.403592,0.243490,0.790131,461.52
E-test-15,1.0+_E,3000,1,50,2560,0.776655,0.881280,0.513422,-0.001231,161.68
