timestamp,experiment_name,n_modes,hidden_channels,n_layers,batch_size,epochs,seed,mse,r2,total_training_time,avg_epoch_time
2025-12-05 06:37:46,Base,64,64,4,2560,1,42,0.69657,0.092755,176.52s,176.52s
2025-12-05 09:01:27,Base,64,64,4,2560,50,42,0.274706,0.641545,8515.66s,170.31s
2025-12-05 11:24:58,Test-1,128,64,4,2560,50,42,0.169225,0.778919,8586.78s,171.74s
2025-12-05 13:47:23,Test-2,512,64,4,2560,50,42,0.088106,0.884791,8521.00s,170.42s
2025-12-05 16:12:24,Test-3,1024,64,4,2560,50,42,0.058579,0.923515,8676.81s,173.54s
2025-12-05 19:13:03,Test-4,1536,64,4,2560,50,42,0.055238,0.927889,10816.16s,216.32s
2025-12-05 21:03:03,Test-5,64,16,4,5120,50,42,0.472161,0.383188,6579.73s,131.59s
2025-12-05 23:01:53,Test-6,64,32,4,5120,50,42,0.373559,0.511442,7109.13s,142.18s
2025-12-06 01:53:42,Test-7,64,128,4,1280,50,42,0.236821,0.692593,10285.44s,205.71s
2025-12-06 03:51:06,Test-8,64,64,2,2560,50,42,0.331539,0.567175,7023.40s,140.47s
2025-12-06 06:44:30,Test-9,64,64,8,1536,50,42,0.20489,0.732897,10378.68s,207.57s
2025-12-06 10:19:19,Test-10,64,64,12,1152,50,42,0.214952,0.727234,12861.77s,257.24s
2025-12-06 13:22:43,Large,512,64,8,1536,50,42,0.08199,0.893027,10979.56s,219.59s
2025-12-06 19:14:32,Huge,1024,128,12,512,50,42,0.042197,0.944958,21074.25s,421.48s
